Model,Release Date,Release Year,Model ID,Cluster ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
Nokia E90 Communicator,01-06-07,2007.416667,1042,1,0.062471389,0.004193611,0.165619523,0.158273381,0.284552846,0.158730159,0.342428377,0.032786885,0.089159718,0.008050875,0.032327586,0.524230187
Nokia N77,01-06-07,2007.416667,1043,0,0.031220435,0.002096294,0.109593975,0.050359712,0.056910569,0.142857143,0.118690314,0.254098361,0.081462476,0.007879579,0.011637931,0.308430086
O2 XDA Nova (HTC Elf 200),01-06-07,2007.416667,1044,0,0.031220435,0.002096294,0.100089641,0.079136691,0.056910569,0.142857143,0.140518417,0.208606557,0.050032072,0.007793932,0.011206897,0.254164563
Pharos Drive GPS 200,01-06-07,2007.416667,1045,0,0.031220435,0.002096294,0.132604468,0.165467626,0.154471545,0.119047619,0.312414734,0.135245902,0.140474663,0.050039612,0.032327586,0.238011106
RIM BlackBerry 8707h,01-06-07,2007.416667,1046,0,0.00778222,0.001047635,0.03956204,0.064748201,0.089430894,0.103174603,0.171896317,0.25,0.085952534,0.022482496,0.017198276,0.276375568
Sprint Mogul PPC-6800 (HTC Titan 100),01-06-07,2007.416667,1047,0,0.031220435,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.14324693,0.25,0.079538165,0.016273045,0.02262931,0.254164563
Toshiba Portege G900,01-06-07,2007.416667,1048,1,0.062471389,0.002096294,0.259662406,0.09352518,0.284552846,0.222222222,0.148703956,0.286885246,0.09878127,0.023981329,0.029310345,0.66481575
Altina A680 / A680S,01-07-07,2007.5,1049,0,0.062471389,0.001047635,0.199635034,0.165467626,0.154471545,0.119047619,0.342428377,0.118852459,0.108402822,0.041260733,0.040948276,0.234729934
Bell HTC 6800 (HTC Titan 100),01-07-07,2007.5,1050,0,0.031220435,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.14324693,0.25,0.079538165,0.016273045,0.02262931,0.254164563
Datalogic Mobile Memor WAN Windows CE,01-07-07,2007.5,1051,6,0.062471389,0.004193611,0.311686129,0.035971223,0.056910569,0.142857143,0.132332879,0.475409836,0.217447081,0.068282551,0.036637931,0.345784957
Datalogic Mobile Memor Windows CE,01-07-07,2007.5,1052,6,0.062471389,0.004193611,0.311686129,0.035971223,0.056910569,0.142857143,0.132332879,0.422131148,0.217447081,0.068282551,0.036637931,0.345784957
Datalogic Mobile Pegaso Windows CE,01-07-07,2007.5,1053,3,0.062471389,0.002096294,0.259662406,0.136690647,0.154471545,0.301587302,0.203274216,0.516393443,0.268762027,0.062158748,0.036637931,0.345784957
Dopod S1 (HTC Elf 100),01-07-07,2007.5,1054,0,0.031220435,0.002096294,0.100089641,0.079136691,0.056910569,0.142857143,0.140518417,0.208606557,0.050032072,0.007793932,0.011206897,0.254164563
HTC P6300 (HTC Panda),01-07-07,2007.5,1055,0,0.062471389,0.004193611,0.199635034,0.129496403,0.056910569,0.142857143,0.17271487,0.330737705,0.081462476,0.027000407,0.030172414,0.17617365
HTC S630 (HTC Cavalier 100),01-07-07,2007.5,1056,0,0.031220435,0.002096294,0.199635034,0.050359712,0.089430894,0.103174603,0.152796726,0.260245902,0.048749198,0.011177012,0.012931034,0.308430086
LG LN800,01-07-07,2007.5,1057,0,0.031220435,0.000523305,0.137606749,0.165467626,0.089430894,0.103174603,0.296043656,0.162295082,0.075048108,0.02939854,0.030172414,0.139323574
LG LN800T,01-07-07,2007.5,1058,0,0.031220435,0.000523305,0.137606749,0.165467626,0.089430894,0.103174603,0.296043656,0.162295082,0.075048108,0.02939854,0.030172414,0.139323574
Motorola RAZR2 V8,01-07-07,2007.5,1059,0,0.031220435,0.008388246,0.249657844,0.035971223,0.056910569,0.142857143,0.12414734,0.221311475,0.037203335,0.004196733,0.012284483,0.345784957
Motorola RIZR Z8,01-07-07,2007.5,1060,0,0.031220435,0.002096294,0.164619066,0.035971223,0.056910569,0.142857143,0.118690314,0.248770492,0.059012187,0.008521936,0.011206897,0.345784957
Orange SPV C200,01-07-07,2007.5,1061,0,0.031220435,0.001047635,0.109593975,0.021582734,0.030894309,0.093253968,0.104502046,0.209016393,0.055805003,0.004753442,0.005603448,0.24204947
RIM BlackBerry Curve 8310,01-07-07,2007.5,1062,0,0.00778222,0.001047635,0.15561496,0.050359712,0.089430894,0.103174603,0.145975443,0.237704918,0.060295061,0.011862193,0.011077586,0.301615346
RoverPC S6,01-07-07,2007.5,1063,0,0.031220435,0.002096294,0.100089641,0.079136691,0.056910569,0.142857143,0.14324693,0.254098361,0.062219371,0.012718669,0.009698276,0.244068652
Samsung SCH-M620,01-07-07,2007.5,1064,0,0.031220435,0.002096294,0.109593975,0.043165468,0.089430894,0.103174603,0.14324693,0.262295082,0.036561899,0.007408518,0.010775862,0.322564361
Samsung SPH-M6200 Ultra Messaging,01-07-07,2007.5,1065,0,0.031220435,0.002096294,0.109593975,0.043165468,0.089430894,0.103174603,0.14324693,0.262295082,0.036561899,0.007408518,0.010775862,0.322564361
Sharp W-ZERO3 [es] WS011SH,01-07-07,2007.5,1066,1,0.062471389,0.004193611,0.259662406,0.09352518,0.284552846,0.222222222,0.118690314,0.352459016,0.075689545,0.016422928,0.020905172,0.66481575
SoftBank X01T,01-07-07,2007.5,1067,1,0.062471389,0.002096294,0.259662406,0.09352518,0.284552846,0.222222222,0.148703956,0.286885246,0.09878127,0.023981329,0.029310345,0.66481575
Sony Ericsson P1 / P1i (SE Elena),01-07-07,2007.5,1068,0,0.062471389,0.004193611,0.103591238,0.064748201,0.056910569,0.142857143,0.132332879,0.233606557,0.057087877,0.009292765,0.013793103,0.276375568
T-Mobile MDA Touch (HTC Elf 300),01-07-07,2007.5,1069,0,0.031220435,0.002096294,0.100089641,0.079136691,0.056910569,0.142857143,0.140518417,0.208606557,0.050032072,0.007793932,0.011206897,0.254164563
Zenum Opus,01-07-07,2007.5,1070,0,0.031220435,0.002096294,0.099589413,0.057553957,0.089430894,0.103174603,0.162346521,0.295081967,0.050673509,0.014495857,0.017241379,0.288743059
Blaupunkt TravelPilot Lucca 3.3,01-08-07,2007.583333,1071,0,0.031220435,0.008388246,0.149612223,0.129496403,0.089430894,0.103174603,0.200545703,0.270491803,0.121231559,0.039804723,0.028017241,0.17617365
Blaupunkt TravelPilot Lucca 3.4,01-08-07,2007.583333,1072,0,0.031220435,0.008388246,0.149612223,0.129496403,0.089430894,0.103174603,0.200545703,0.270491803,0.121231559,0.039804723,0.028017241,0.17617365
Blaupunkt TravelPilot Lucca 5.2,01-08-07,2007.583333,1073,0,0.062471389,0.031878203,0.149612223,0.165467626,0.154471545,0.119047619,0.238744884,0.319672131,0.1533034,0.067233368,0.0375,0.234729934
Dopod CHT 9110,01-08-07,2007.583333,1074,0,0.031220435,0.004193611,0.249657844,0.079136691,0.056910569,0.142857143,0.14106412,0.241803279,0.078896729,0.015330921,0.017887931,0.244068652
Dopod D818c (HTC Wave),01-08-07,2007.583333,1075,0,0.031220435,0.002096294,0.149612223,0.079136691,0.056910569,0.142857143,0.140518417,0.241803279,0.080179602,0.015502216,0.015086207,0.249116608
Dopod E616 (HTC Panda),01-08-07,2007.583333,1076,0,0.062471389,0.004193611,0.199635034,0.129496403,0.056910569,0.142857143,0.17271487,0.330737705,0.081462476,0.027000407,0.030172414,0.17617365
DreimGO DG100,01-08-07,2007.583333,1077,0,0.031220435,0.016777517,0.137606749,0.129496403,0.089430894,0.103174603,0.186903138,0.209016393,0.069916613,0.017857525,0.02262931,0.17617365
DreimGO DG100BT,01-08-07,2007.583333,1078,0,0.031220435,0.016777517,0.137606749,0.129496403,0.089430894,0.103174603,0.186903138,0.209016393,0.069916613,0.017857525,0.02262931,0.17617365
HTC Advantage X7501 (HTC Athena),01-08-07,2007.583333,1079,6,0.062471389,0.004193611,0.311686129,0.237410072,0.219512195,0.222222222,0.249658936,0.346311475,0.063502245,0.03537246,0.064439655,0.288743059
HTC P3000 (HTC Wave),01-08-07,2007.583333,1080,0,0.031220435,0.002096294,0.149612223,0.079136691,0.056910569,0.142857143,0.140518417,0.241803279,0.076330981,0.014709976,0.015086207,0.249116608
i-teq Laser,01-08-07,2007.583333,1081,0,0.031220435,0.002096294,0.100089641,0.079136691,0.056910569,0.142857143,0.14324693,0.254098361,0.062219371,0.012718669,0.009698276,0.244068652
Lenovo ET600,01-08-07,2007.583333,1082,0,0.031220435,0.002096294,0.100089641,0.079136691,0.056910569,0.142857143,0.14324693,0.254098361,0.062219371,0.012718669,0.009698276,0.244068652
LG KC1,01-08-07,2007.583333,1083,6,0.062471389,0.008388246,0.402727644,0.079136691,0.056910569,0.142857143,0.145975443,0.290983607,0.069275176,0.016615635,0.021551724,0.244068652
Motorola MOTO Q Music 9m (Motorola Nelson),01-08-07,2007.583333,1084,0,0.031220435,0.002096294,0.15561496,0.057553957,0.089430894,0.103174603,0.159618008,0.280737705,0.057087877,0.01509539,0.015948276,0.288743059
Okwap K868 Plus,01-08-07,2007.583333,1085,0,0.031220435,0.002096294,0.207638683,0.050359712,0.056910569,0.142857143,0.121418827,0.233606557,0.077613855,0.011626662,0.013362069,0.308430086
RIM BlackBerry 8820,01-08-07,2007.583333,1086,0,0.00778222,0.001047635,0.15561496,0.057553957,0.089430894,0.103174603,0.162346521,0.266393443,0.050673509,0.013104083,0.015948276,0.288743059
SoftBank X02HT (HTC Cavalier),01-08-07,2007.583333,1087,0,0.031220435,0.002096294,0.199635034,0.050359712,0.089430894,0.103174603,0.152796726,0.260245902,0.048749198,0.011177012,0.012931034,0.308430086
ThinkNavi UZ,01-08-07,2007.583333,1088,0,0.031220435,0.000523305,0.199635034,0.129496403,0.089430894,0.103174603,0.255115962,0.114754098,0.101988454,0.026829112,0.020474138,0.17617365
UBiQUiO 503G (TechFaith Perai H),01-08-07,2007.583333,1089,0,0.046845912,0.003144952,0.259662406,0.057553957,0.089430894,0.103174603,0.159618008,0.303278689,0.061577935,0.017429287,0.019396552,0.288743059
Apple iPod touch 1st Generation 16GB,01-09-07,2007.666667,1090,1,0.062471389,0.249999232,0.199635034,0.129496403,0.089430894,0.222222222,0.150886767,0.25,0.0121873,0,0.012931034,0.715547703
Bluebird Pidion BIP-1300 CDMA,01-09-07,2007.666667,1091,3,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.219645293,0.692622951,0.321359846,0.218786802,0.096336207,0.17617365
Bluebird Pidion BIP-1300 GSM,01-09-07,2007.666667,1092,3,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.219645293,0.692622951,0.321359846,0.218786802,0.096336207,0.17617365
Bluebird Pidion BIP-5300,01-09-07,2007.666667,1093,0,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.186903138,0.415163934,0.120590122,0.050660557,0.054741379,0.17617365
Bluebird Pidion BM-500 CDMA,01-09-07,2007.666667,1094,0,0.031220435,0.008388246,0.259662406,0.079136691,0.056910569,0.142857143,0.145156889,0.290983607,0.05644644,0.010063593,0.012931034,0.244068652
Bluebird Pidion BM-500 GSM,01-09-07,2007.666667,1095,0,0.031220435,0.008388246,0.259662406,0.079136691,0.056910569,0.142857143,0.145156889,0.290983607,0.05644644,0.01340385,0.017887931,0.244068652
HTC 5800 (HTC Libra 100),01-09-07,2007.666667,1096,0,0.031220435,0.004193611,0.199635034,0.050359712,0.056910569,0.142857143,0.121418827,0.223360656,0.084028223,0.012247607,0.016810345,0.308430086
HTC P3600i,01-09-07,2007.666667,1097,0,0.031220435,0.004193611,0.249657844,0.079136691,0.056910569,0.142857143,0.14106412,0.241803279,0.078896729,0.015330921,0.017887931,0.244068652
HTC TyTN II P4550 (HTC Kaiser 120),01-09-07,2007.666667,1098,0,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.14324693,0.258196721,0.08274535,0.017450699,0.028017241,0.254164563
I-Mate Ultimate 6150,01-09-07,2007.666667,1099,1,0.062471389,0.004193611,0.259662406,0.079136691,0.154471545,0.301587302,0.1473397,0.284836066,0.060295061,0.014345973,0.019827586,0.600201918
I-Mate Ultimate 8150,01-09-07,2007.666667,1100,1,0.062471389,0.004193611,0.259662406,0.064748201,0.154471545,0.301587302,0.1473397,0.284836066,0.060295061,0.014345973,0.019827586,0.65345785
Mio A702 Digi-Walker,01-09-07,2007.666667,1101,0,0.031220435,0.031878203,0.100089641,0.071942446,0.056910569,0.142857143,0.139427012,0.25,0.066709429,0.012932788,0.018965517,0.259464917
Mio P360 DigiWalker,01-09-07,2007.666667,1102,0,0.031220435,0.016777517,0.199635034,0.129496403,0.056910569,0.142857143,0.178717599,0.278688525,0.075048108,0.022653791,0.023706897,0.17617365
Mio P560 DigiWalker,01-09-07,2007.666667,1103,0,0.031220435,0.031878203,0.199635034,0.129496403,0.056910569,0.142857143,0.178717599,0.278688525,0.075048108,0.022653791,0.023706897,0.17617365
Motorola MOTO Q 9h (Q9h),01-09-07,2007.666667,1104,0,0.046845912,0.004193611,0.162117926,0.050359712,0.089430894,0.103174603,0.165075034,0.282786885,0.036561899,0.010534655,0.015948276,0.308430086
Nokia 5700 XpressMusic,01-09-07,2007.666667,1105,0,0.031220435,0.002096294,0.184127962,0.035971223,0.056910569,0.142857143,0.12005457,0.242622951,0.071840924,0.009592532,0.011853448,0.469207471
Nokia 6121 classic,01-09-07,2007.666667,1106,0,0.031220435,0.002096294,0.184127962,0.021582734,0.056910569,0.142857143,0.107776262,0.229508197,0.057087877,0.00608098,0.00625,0.390711762
Nokia N95-3 NAM,01-09-07,2007.666667,1107,0,0.062471389,0.004193611,0.165619523,0.064748201,0.056910569,0.142857143,0.126875853,0.204918033,0.092366902,0.014153266,0.013793103,0.270570419
O2 XDA Comet,01-09-07,2007.666667,1108,6,0.031220435,0.016777517,0.311686129,0.071942446,0.056910569,0.142857143,0.140518417,0.233606557,0.079538165,0.014902683,0.018965517,0.256940939
RIM BlackBerry Curve 8320,01-09-07,2007.666667,1109,0,0.00778222,0.001047635,0.15561496,0.050359712,0.089430894,0.103174603,0.145975443,0.237704918,0.060295061,0.011862193,0.010991379,0.301615346
RoverPC E5,01-09-07,2007.666667,1110,0,0.031220435,0.002096294,0.15561496,0.079136691,0.056910569,0.142857143,0.1473397,0.257377049,0.062219371,0.013446674,0.015732759,0.244068652
Samsung SGH-i400,01-09-07,2007.666667,1111,0,0.031220435,0.002096294,0.099589413,0.043165468,0.056910569,0.142857143,0.118690314,0.213114754,0.062219371,0.007644049,0.006896552,0.330136295
Samsung SGH-i710,01-09-07,2007.666667,1112,0,0.031220435,0.002096294,0.207638683,0.079136691,0.089430894,0.103174603,0.140518417,0.245081967,0.047466325,0.008800291,0.009784483,0.249116608
Samsung SGH-i718,01-09-07,2007.666667,1113,0,0.031220435,0.002096294,0.207638683,0.079136691,0.089430894,0.103174603,0.140518417,0.245081967,0.047466325,0.008800291,0.010560345,0.249116608
Sony Ericsson P1c (SE Elena),01-09-07,2007.666667,1114,0,0.062471389,0.004193611,0.103591238,0.064748201,0.056910569,0.142857143,0.132332879,0.233606557,0.057087877,0.009292765,0.013793103,0.276375568
T-Mobile MDA Vario III (HTC Kaiser 120),01-09-07,2007.666667,1115,0,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.14324693,0.258196721,0.08274535,0.017450699,0.028017241,0.254164563
Vodafone VPA Compact V (HTC Kaiser 120),01-09-07,2007.666667,1116,0,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.14324693,0.258196721,0.079217447,0.016658459,0.028017241,0.254164563
WayteQ N410,01-09-07,2007.666667,1117,0,0.031220435,0.001047635,0.185628647,0.129496403,0.089430894,0.103174603,0.241473397,0.137295082,0.105195638,0.028306533,0.028017241,0.17617365
WayteQ X5 (TechFaith Lampson),01-09-07,2007.666667,1118,0,0.031220435,0.002096294,0.207638683,0.079136691,0.056910569,0.142857143,0.153888131,0.286885246,0.075048108,0.019078004,0.018965517,0.244068652
Airo A25,01-10-07,2007.75,1119,0,0.031220435,0.002096294,0.207638683,0.079136691,0.056910569,0.142857143,0.168485675,0.387295082,0.116741501,0.041517676,0.037715517,0.244068652
Asus M530w (Asus Aries),01-10-07,2007.75,1120,0,0.031220435,0.004193611,0.207638683,0.050359712,0.089430894,0.103174603,0.159618008,0.278688525,0.049390635,0.013018436,0.016163793,0.301615346
Asus R600,01-10-07,2007.75,1121,0,0.031220435,0.002096294,0.199635034,0.18705036,0.154471545,0.119047619,0.369713506,0.139344262,0.076330981,0.035971993,0.043103448,0.209490156
AT_T HTC Tilt 8900 (HTC Kaiser 110),01-10-07,2007.75,1122,0,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.14324693,0.258196721,0.08274535,0.055178468,0.040948276,0.17617365
AT_T HTC Tilt 8925 (HTC Kaiser 160),01-10-07,2007.75,1123,0,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.14324693,0.258196721,0.08274535,0.059075434,0.045258621,0.17617365
Bell HTC 5800 (HTC Libra 100),01-10-07,2007.75,1124,0,0.031220435,0.004193611,0.199635034,0.050359712,0.056910569,0.142857143,0.121418827,0.223360656,0.084028223,0.012247607,0.016810345,0.308430086
Fly PC200 (TechFaith Lampson),01-10-07,2007.75,1125,0,0.031220435,0.002096294,0.207638683,0.079136691,0.056910569,0.142857143,0.153888131,0.295081967,0.075048108,0.019570477,0.018965517,0.244068652
HTC Touch Dual P5500 (HTC Nike 100),01-10-07,2007.75,1126,0,0.062471389,0.004193611,0.199635034,0.064748201,0.056910569,0.142857143,0.132332879,0.237704918,0.062219371,0.010470419,0.012931034,0.270570419
Mio C230 Digi-Walker,01-10-07,2007.75,1127,0,0.031220435,0.016777517,0.199635034,0.129496403,0.089430894,0.103174603,0.200545703,0.168032787,0.114817191,0.027557116,0.018103448,0.17617365
Mobile Compia M3 Plus MC-7500S,01-10-07,2007.75,1128,0,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.196725784,0.454918033,0.168184734,0.077596728,0.044827586,0.17617365
Mobile Compia M3 Plus MC-7700S,01-10-07,2007.75,1129,0,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.196725784,0.454918033,0.168184734,0.077596728,0.044827586,0.17617365
Nokia N81 8GB,01-10-07,2007.75,1130,0,0.046845912,0.002096294,0.184127962,0.050359712,0.056910569,0.142857143,0.118690314,0.217213115,0.075689545,0.010106417,0.017241379,0.308430086
Nokia N95 8GB,01-10-07,2007.75,1131,0,0.062471389,0.004193611,0.165619523,0.079136691,0.056910569,0.142857143,0.126875853,0.204918033,0.095574086,0.014153266,0.014655172,0.244068652
ORSiO p745,01-10-07,2007.75,1132,0,0.031220435,0.002096294,0.100089641,0.057553957,0.089430894,0.103174603,0.159618008,0.299180328,0.050673509,0.014324562,0.014008621,0.295053004
Palm Centro 690p CDMA,01-10-07,2007.75,1133,0,0.031220435,0.002096294,0.15561496,0.043165468,0.089430894,0.142857143,0.128240109,0.23852459,0.080179602,0.01340385,0.012715517,0.395254922
Palm Treo 500v (Palm Otto),01-10-07,2007.75,1134,0,0.031220435,0.004193611,0.15561496,0.064748201,0.089430894,0.103174603,0.150068213,0.25,0.066709429,0.014453033,0.012931034,0.270570419
Psion Teklogix 7530 G2,01-10-07,2007.75,1135,3,0.062471389,0.001047635,0.259662406,0.129496403,0.056910569,0.142857143,0.255115962,0.905737705,0.50609365,0.481960474,0.191810345,0.17617365
Psion Teklogix 7535 G2,01-10-07,2007.75,1136,3,0.062471389,0.001047635,0.259662406,0.129496403,0.056910569,0.142857143,0.260572988,0.864754098,0.362411802,0.323619468,0.127155172,0.17617365
RIM BlackBerry Pearl 8120,01-10-07,2007.75,1137,0,0.015594958,0.001047635,0.15561496,0.035971223,0.06504065,0.103174603,0.118690314,0.237704918,0.053880693,0.007172987,0.006681034,0.300353357
RoverPC G6,01-10-07,2007.75,1138,0,0.031220435,0.004193611,0.259662406,0.071942446,0.056910569,0.142857143,0.141882674,0.235655738,0.079538165,0.015245273,0.010560345,0.259464917
RoverPC Q6,01-10-07,2007.75,1139,0,0.031220435,0.002096294,0.199635034,0.079136691,0.056910569,0.142857143,0.14324693,0.270491803,0.087876844,0.019313534,0.02262931,0.244068652
Samsung SCH-i760,01-10-07,2007.75,1140,0,0.031220435,0.002096294,0.199635034,0.079136691,0.089430894,0.103174603,0.140518417,0.266393443,0.08274535,0.017450699,0.019396552,0.249116608
Samsung SGH-i620,01-10-07,2007.75,1141,0,0.031220435,0.002096294,0.207638683,0.035971223,0.089430894,0.103174603,0.144065484,0.188114754,0.065426555,0.010192065,0.014267241,0.345784957
Samsung SGH-i760,01-10-07,2007.75,1142,0,0.031220435,0.002096294,0.259662406,0.079136691,0.089430894,0.103174603,0.14324693,0.274590164,0.08274535,0.018392823,0.012715517,0.249116608
Sharp EM-ONE S01SH2,01-10-07,2007.75,1143,1,0.062471389,0.008388246,0.259662406,0.172661871,0.284552846,0.222222222,0.173260573,0.37295082,0.082103913,0.030212192,0.040948276,0.457597173
Sprint Touch (HTC Vogue 100),01-10-07,2007.75,1144,0,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.144884038,0.213114754,0.051314945,0.008736055,0.011206897,0.254164563
T-Mobile Shadow (HTC Kii 100),01-10-07,2007.75,1145,0,0.062471389,0.004193611,0.100089641,0.064748201,0.056910569,0.142857143,0.129604366,0.229508197,0.057087877,0.008778879,0.019396552,0.276375568
Tibo XRoad V4100,01-10-07,2007.75,1146,0,0.031220435,0.001047635,0.199635034,0.18705036,0.154471545,0.119047619,0.383356071,0.139344262,0.127645927,0.058475901,0.048491379,0.211761736
Tibo XRoad V4150,01-10-07,2007.75,1147,0,0.031220435,0.001047635,0.199635034,0.18705036,0.154471545,0.119047619,0.383356071,0.139344262,0.127645927,0.058475901,0.048491379,0.211761736
Vodafone v1615 (HTC Kaiser 120),01-10-07,2007.75,1148,0,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.14324693,0.258196721,0.079217447,0.016658459,0.028017241,0.254164563
Asus R300,01-11-07,2007.833333,1149,0,0.031220435,0.002096294,0.199635034,0.129496403,0.089430894,0.103174603,0.257844475,0.133196721,0.049390635,0.014881271,0.017241379,0.17617365
BenQ T80,01-11-07,2007.833333,1150,0,0.031220435,0.004193611,0.129603099,0.035971223,0.056910569,0.142857143,0.122783083,0.204918033,0.075689545,0.010106417,0.010344828,0.345784957
Clearview Infinity miPC,01-11-07,2007.833333,1151,0,0.062471389,0.000523305,0.299680654,0.18705036,0.154471545,0.119047619,0.377899045,0.139344262,0.1533034,0.272894675,0.11637931,0.17617365
Cowon Q5W 40GB,01-11-07,2007.833333,1152,1,0.062471389,0.001047635,0.299680654,0.237410072,0.284552846,0.222222222,0.360982265,0.161885246,0.089159718,0.043166392,0.068965517,0.358909642
Cowon Q5W 60GB,01-11-07,2007.833333,1153,1,0.062471389,0.001047635,0.299680654,0.237410072,0.284552846,0.222222222,0.360982265,0.161885246,0.089159718,0.043166392,0.068965517,0.358909642
Cowon Q5W 80GB,01-11-07,2007.833333,1154,1,0.062471389,0.001047635,0.299680654,0.237410072,0.284552846,0.222222222,0.360982265,0.161885246,0.089159718,0.043166392,0.068965517,0.358909642
E-TEN Glofiish X600,01-11-07,2007.833333,1155,0,0.031220435,0.002096294,0.199635034,0.079136691,0.056910569,0.142857143,0.140518417,0.237704918,0.055163566,0.010085005,0.01637931,0.244068652
E-TEN Glofiish X800,01-11-07,2007.833333,1156,1,0.031220435,0.004193611,0.249657844,0.079136691,0.154471545,0.301587302,0.1473397,0.264344262,0.062219371,0.013789264,0.01875,0.600201918
Hewlett-Packard iPAQ 100 / 110 / 111 / 112,01-11-07,2007.833333,1157,0,0.031220435,0.004193611,0.311686129,0.129496403,0.056910569,0.142857143,0.170259209,0.277459016,0.048107761,0.013981971,0.011767241,0.17617365
HTC S640 (HTC Iris 100),01-11-07,2007.833333,1158,0,0.031220435,0.004193611,0.199635034,0.057553957,0.089430894,0.103174603,0.144884038,0.213114754,0.050032072,0.008479113,0.011206897,0.298334175
HTC Ted Baker Needle (HTC Elf 200),01-11-07,2007.833333,1159,0,0.031220435,0.002096294,0.100089641,0.079136691,0.056910569,0.142857143,0.140518417,0.208606557,0.050032072,0.007793932,0.011206897,0.254164563
HTC Touch P3050 (HTC Vogue 100),01-11-07,2007.833333,1160,0,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.144884038,0.213114754,0.050032072,0.008479113,0.011206897,0.254164563
HTC Touch P3452 - Enhanced Version (HTC Elfin 100),01-11-07,2007.833333,1161,0,0.062471389,0.004193611,0.100089641,0.079136691,0.056910569,0.142857143,0.140518417,0.208606557,0.050032072,0.007793932,0.011206897,0.254164563
I-Mate JAMA 101,01-11-07,2007.833333,1162,0,0.031220435,0.002096294,0.149612223,0.050359712,0.056910569,0.142857143,0.125511596,0.229508197,0.060295061,0.011905017,0.019827586,0.288743059
Motorola MOTO Q9c,01-11-07,2007.833333,1163,0,0.031220435,0.002096294,0.15561496,0.057553957,0.089430894,0.103174603,0.159618008,0.280737705,0.037203335,0.01002077,0.011853448,0.288743059
Motorola MOTO Q9h Global,01-11-07,2007.833333,1164,0,0.046845912,0.004193611,0.162117926,0.050359712,0.089430894,0.103174603,0.165075034,0.282786885,0.036561899,0.010534655,0.015948276,0.308430086
NDrive S300 (TechFaith Lampson),01-11-07,2007.833333,1165,0,0.031220435,0.002096294,0.207638683,0.079136691,0.056910569,0.142857143,0.153888131,0.296721311,0.063502245,0.016722694,0.018965517,0.244068652
Nokia E51,01-11-07,2007.833333,1166,0,0.046845912,0.004193611,0.184127962,0.021582734,0.056910569,0.142857143,0.110504775,0.269672131,0.037844772,0.004410852,0.00862069,0.390711762
Nokia N810 Internet Tablet,01-11-07,2007.833333,1167,1,0.062471389,0.004193611,0.199635034,0.172661871,0.284552846,0.222222222,0.331514325,0.094262295,0.050673509,0.018178704,0.035560345,0.457597173
O2 XDA Star (HTC Nike 300),01-11-07,2007.833333,1168,0,0.062471389,0.004193611,0.199635034,0.064748201,0.056910569,0.142857143,0.132332879,0.237704918,0.062219371,0.010470419,0.012931034,0.270570419
O2 XDA Stellar (HTC Kaiser 120),01-11-07,2007.833333,1169,0,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.14324693,0.258196721,0.080500321,0.016936813,0.028017241,0.254164563
Panasonic Strada CN-GP50N,01-11-07,2007.833333,1170,0,0.062471389,0.002096294,0.199635034,0.237410072,0.154471545,0.119047619,0.334242838,0.155737705,0.159717768,0.065049354,0.046336207,0.166330136
RoverPC N6,01-11-07,2007.833333,1171,0,0.031220435,0.002096294,0.207638683,0.107913669,0.056910569,0.142857143,0.160982265,0.295081967,0.066709429,0.018564118,0.01487069,0.200656234
Samsung SGH-i617 BlackJack II,01-11-07,2007.833333,1172,0,0.062471389,0.004193611,0.129603099,0.050359712,0.089430894,0.103174603,0.140518417,0.274590164,0.04233483,0.008843115,0.00862069,0.308430086
T-Mobile MDA Touch 256 (HTC Elfin 300),01-11-07,2007.833333,1173,0,0.062471389,0.004193611,0.100089641,0.079136691,0.056910569,0.142857143,0.140518417,0.208606557,0.050032072,0.007793932,0.011206897,0.254164563
Vodafone 920 (HTC Kii),01-11-07,2007.833333,1174,0,0.062471389,0.004193611,0.100089641,0.064748201,0.056910569,0.142857143,0.129604366,0.229508197,0.057087877,0.008778879,0.019396552,0.276375568
